id,filtered_words_str,features_str,label_index
R129,"black,involve,serious,action.,listen,father,choice,investment,upon,couple.,experts,discuss,ongoing,developments,election.","(10000,[429,708,1117,1562,1800,1948,3556,3614,4506,4687,6053,6271,6735,9213,9462],[4.42484663185681,5.523458920524919,3.577548771469606,3.8187108282864943,4.019381523748645,3.6516567436233283,2.8844015909096608,0.691153161953081,0.691153161953081,0.6871770135734415,3.6516567436233283,4.137164559405029,4.42484663185681,5.523458920524919,0.691153161953081])",1.0
R227,"rule,writer,know,happy,baby,exactly,present,suffer.,environmental,son,five,option,friend.,compare,nature,respond,name,position.,experts,discuss,ongoing,developments,climate,change.","(10000,[15,209,343,821,1348,1819,2059,2096,2500,3228,3611,3614,4506,4687,5347,5974,6027,6731,6906,7779,8130,9246,9462,9613],[4.607168188650764,4.607168188650764,4.137164559405029,2.849310271098391,4.019381523748645,5.117993812416755,2.661258039595451,4.42484663185681,4.019381523748645,5.523458920524919,3.914021008090819,0.691153161953081,0.691153161953081,0.6871770135734415,4.137164559405029,3.7316994512968646,4.607168188650764,5.523458920524919,4.830311739964974,3.914021008090819,4.270695952029551,5.117993812416755,0.691153161953081,3.7316994512968646])",1.0
F231,"turn,girl,respond,suggest,sing,idea,charge.,positive,try,possible,shoulder,customer.,owner,positive,allow,example,remain,time,single.,—,shocking,claims,aliens,surface,internet.","(10000,[1,503,650,1029,2500,3489,3886,4693,4722,4835,5205,5850,5958,6053,6100,6451,6714,6756,7281,7816,7936,8157,8338,9606],[8.84969326371362,0.691153161953081,2.958509563063383,4.42484663185681,4.019381523748645,4.830311739964974,4.019381523748645,4.137164559405029,5.117993812416755,3.8187108282864943,4.137164559405029,0.691153161953081,4.270695952029551,3.6516567436233283,4.42484663185681,3.3262343431887,4.607168188650764,3.5085558999826545,0.6792718340663283,4.019381523748645,0.691153161953081,4.019381523748645,0.691153161953081,4.42484663185681])",0.0
R066,"movie,talk,seek,power.,experts,discuss,ongoing,developments,policy.","(10000,[171,1029,1439,3614,4506,4687,6944,8925,9462],[4.42484663185681,4.42484663185681,4.270695952029551,0.691153161953081,0.691153161953081,0.6871770135734415,2.849310271098391,4.42484663185681,0.691153161953081])",1.0
F095,"mean,american,material,born.,listen,continue,sit.,—,shocking,claims,mind,control,surface,internet.","(10000,[429,503,743,909,1208,2778,3184,3231,3286,5850,7281,7652,7936,8338],[4.42484663185681,0.691153161953081,4.830311739964974,4.42484663185681,2.8844015909096608,5.523458920524919,2.8844015909096608,3.8187108282864943,4.42484663185681,0.691153161953081,0.6792718340663283,4.270695952029551,0.691153161953081,0.691153161953081])",0.0
R174,"dream,program,west,half.,risk,mind,bill,without,admit.,experts,discuss,ongoing,developments,policy.","(10000,[573,2366,3184,3614,3761,4043,4062,4506,4687,5085,6944,8135,8794,9462],[3.577548771469606,3.7316994512968646,2.8844015909096608,0.691153161953081,5.117993812416755,3.914021008090819,5.117993812416755,0.691153161953081,0.6871770135734415,3.125563647726549,2.849310271098391,4.019381523748645,4.607168188650764,0.691153161953081])",1.0
R201,"brother,according,shoulder,military,form.,sing,reach,call,quality,remain.,experts,discuss,ongoing,developments,public,health.","(10000,[291,1770,2604,3506,3614,4249,4506,4687,5146,5877,6219,6451,6756,7564,8386,9462],[4.019381523748645,3.0385522707369192,5.117993812416755,4.137164559405029,0.691153161953081,5.523458920524919,0.691153161953081,0.6871770135734415,3.8187108282864943,4.137164559405029,3.125563647726549,3.3262343431887,3.5085558999826545,4.137164559405029,4.137164559405029,0.691153161953081])",1.0
R072,"sister,senior,president,concern,billion,cell,modern.,experts,discuss,ongoing,developments,education.","(10000,[78,258,1306,1968,3210,3521,3614,4144,4506,4687,5047,9462],[4.830311739964974,4.137164559405029,3.914021008090819,4.42484663185681,4.137164559405029,4.607168188650764,0.691153161953081,4.019381523748645,0.691153161953081,0.6871770135734415,2.661258039595451,0.691153161953081])",1.0
R064,"week,style,ten,start.,activity,culture,fear,there.,experts,discuss,ongoing,developments,research.","(10000,[3614,4506,4687,5085,5122,5804,7066,8000,8049,8110,8645,9462,9513],[0.691153161953081,0.691153161953081,0.6871770135734415,3.125563647726549,4.42484663185681,5.117993812416755,2.7826188965997183,3.914021008090819,4.830311739964974,4.019381523748645,4.270695952029551,0.691153161953081,3.8187108282864943])",1.0
F037,"single,degree,point,economic,never.,activity,war,food,oil.,arrive,word,recent,break,create.,—,shocking,claims,miracle,drug,surface,internet.","(10000,[503,668,1256,1990,3519,4416,5591,5850,6808,7040,7281,7391,7860,7889,7936,8110,8338,8653,8719,9144,9943],[0.691153161953081,3.914021008090819,3.125563647726549,5.117993812416755,4.42484663185681,4.137164559405029,4.42484663185681,0.691153161953081,5.117993812416755,4.830311739964974,0.6792718340663283,4.137164559405029,2.8844015909096608,4.137164559405029,0.691153161953081,4.019381523748645,0.691153161953081,4.607168188650764,4.019381523748645,2.6330871626287546,4.270695952029551])",0.0
