id,title,filtered_words,label
R129,New Report on Election,"['decade', 'significant', 'magazine', 'response', 'include', 'beautiful', 'life', 'for.', 'price', 'history', 'sign', 'career', 'smile.', 'organization', 'ahead', 'adult', 'trade', 'collection.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R227,New Report on Climate Change,"['although', 'enjoy', 'main.', 'audience', 'nearly', 'activity', 'son.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F231,Aliens Confirmed by Sources,"['mouth', 'hotel', 'staff.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
R066,New Report on Policy,"['market', 'direction', 'claim', 'step', 'attention', 'finish', 'too.', 'send', 'appear', 'blood', 'wait.', 'news', 'citizen', 'skill', 'call.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
F095,Mind Control Confirmed by Sources,"['nation', 'wrong', 'respond', 'my.', 'someone', 'day', 'study', 'space', 'game', 'drop', 'edge.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']",FAKE
R174,New Report on Policy,"['person', 'read', 'operation', 'machine', 'affect', 'goal.', 'apply', 'development', 'boy', 'couple', 'strategy', 'treatment', 'into.', 'interview', 'story', 'media', 'let', 'fast.', 'present', 'summer', 'clearly', 'wide', 'require', 'risk', 'month', 'full.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
R201,New Report on Public Health,"['reason', 'military', 'quality', 'project.', 'force', 'small', 'throughout', 'relate', 'quite', 'condition', 'tax.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
R072,New Report on Education,"['plant', 'really', 'maintain.', 'south', 'hand', 'miss', 'skill', 'color', 'human.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']",REAL
R064,New Report on Research,"['behind', 'adult', 'tonight', 'need', 'watch', 'by.', 'offer', 'picture', 'wish', 'idea', 'trouble', 'break', 'cover.', 'share', 'person', 'add', 'anyone', 'truth.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
F037,Miracle Drug Confirmed by Sources,"['figure', 'college', 'order', 'matter.', 'company', 'tough', 'present', 'day', 'current', 'federal.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
R170,New Report on Technology Breakthrough,"['whether', 'list', 'behind', 'worry', 'fact.', 'image', 'medical', 'world.', 'third', 'expect', 'important', 'control', 'wish.', 'experts', 'discuss', 'ongoing', 'developments', 'technology', 'breakthrough.']",REAL
F110,Celebrity Scandal Confirmed by Sources,"['inside', 'four', 'front', 'agent', 'evening', 'go.', 'gun', 'benefit', 'seek', 'side', 'dog', 'daughter.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']",FAKE
F048,Secret Cure Confirmed by Sources,"['ahead', 'able', 'discover', 'parent.', 'executive', 'appear', 'decide', 'dinner', 'interest', 'similar', 'former', 'parent.', 'never', 'administration', 'ago', 'relate.', 'mention', 'positive', 'remember', 'education', 'cup', 'these.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
F082,Hoax Confirmed by Sources,"['gun', 'create', 'choice', 'hair.', 'someone', 'enter', 'prepare', 'ability', 'carry', 'toward', 'office.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F187,Miracle Drug Confirmed by Sources,"['natural', 'mission', 'plant', 'drive', 'drug', 'successful', 'character.', 'election', 'probably', 'suggest', 'assume', 'sound', 'final', 'draw.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F027,Miracle Drug Confirmed by Sources,"['since', 'scientist', 'perhaps', 'save.', 'degree', 'tv', 'popular', 'must', 'bar', 'research', 'old.', 'million', 'movie', 'thought.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F202,Hoax Confirmed by Sources,"['network', 'gun', 'treat', 'power', 'significant', 'yard', 'seek.', 'phone', 'relate', 'realize', 'home', 'success', 'need.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F197,Secret Cure Confirmed by Sources,"['professional', 'everything', 'responsibility', 'clear', 'size.', 'prepare', 'work', 'four', 'street', 'commercial.', 'medical', 'sell', 'water.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
R128,New Report on Climate Change,"['quite', 'mention', 'me.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F157,Government Cover-Up Confirmed by Sources,"['without', 'summer', 'raise', 'year', 'good', 'car.', 'hope', 'speak', 'somebody', 'skill', 'fast', 'scientist.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']",FAKE
F117,Hoax Confirmed by Sources,"['game', 'mouth', 'test', 'early', 'view.', 'truth', 'organization', 'stage', 'practice', 'return', 'share.', 'safe', 'tv', 'guess.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F173,Secret Cure Confirmed by Sources,"['also', 'lot', 'sing', 'back', 'billion', 'close.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
F024,Aliens Confirmed by Sources,"['parent', 'certainly', 'rock', 'week', 'idea', 'why.', 'drive', 'west', 'media', 'draw', 'necessary.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
